name,specialty,city,hospital,fees,rating
Dr. Ahmad Ward,ENT (Otolaryngology),Tripoli,Tripoli ENT Center,870,4.3
Dr. Tala Bitar,Allergy & Immunology,Byblos,Coastal Allergy Clinic,860,4.5
Dr. Nadim Traboulsi,Gastroenterology,Beirut,Capital GI Institute,1400,4.7
Dr. Rita Alwan,Hepatology,Saida,Saida Liver Clinic,1250,4.4
Dr. Samer Daher,Orthopedics,Aley,Aley Ortho Center,1200,4.3
Dr. Haneen Chami,Endocrinology,Beirut,Medina Hormone Clinic,970,4.6
Dr. Walid Younes,Cardiology,Nabatieh,Nabatieh Heart House,1180,4.4
Dr. Farah Kettaneh,Neurology,Batroun,Batroun Neuro Lab,1500,4.5
Dr. Ibrahim Zogheib,Urology,Tripoli,North Uro Clinic,1380,4.4
Dr. Rana Rached,Gynecology,Beirut,Saint Joseph Hospital,1500,4.7
Dr. Khaled Chamas,General Medicine,Tyre,Tyre Family Center,580,4.1
Dr. Sophia Alameddine,Ophthalmology,Saida,Saida Vision Clinic,760,4.5
Dr. Chadi Noujaim,Rheumatology,Byblos,Byblos Joint Center,940,4.4
Dr. Zeina Mansour,Cardiology,Beirut,Lebanon Heart Hub,1550,4.9
Dr. Majed Barakat,Orthopedics,Tripoli,Tripoli Spine Institute,1420,4.6
Dr. Samar Daou,Dentistry,Baalbek,Beqaa Smile Studio,310,4.3
Dr. Khalil Daher,Psychiatry,Beirut,Urban Mind Clinic,1250,4.6
Dr. Tania Jabbour,Endocrinology,Jounieh,Keserwan Hormone Center,930,4.5
Dr. Gaby Salim,Gastroenterology,Batroun,Batroun Digestive House,1020,4.4
Dr. Mireille Fakhry,Pediatrics,Nabatieh,Nabatieh Kids Clinic,640,4.5
Dr. Omar Baz,ENT (Otolaryngology),Aley,Hill ENT Clinic,850,4.2
Dr. Laura Chebli,Cardiology,Saida,Saida Heart Hospital,1270,4.6
Dr. Roland Khawly,Orthopedics,Beirut,Midtown Ortho Center,1330,4.5
Dr. Fatima Wehbe,Dermatology,Nabatieh,Nabatieh Skin Clinic,740,4.4
Dr. Tony Sawan,General Surgery,Tripoli,North Surgical Hospital,1450,4.3
Dr. Rana Bazzi,Ophthalmology,Beirut,OptiCare Pavilion,780,4.6
Dr. Georges Kassim,Pulmonology,Zahle,Zahle Lung Clinic,970,4.4
Dr. Nayla Choueiri,Neurology,Beirut,Helios Neuro Center,1820,4.8
Dr. Fares Lakkis,Gynecology,Tyre,South Women’s Hospital,960,4.4
Dr. Paula Fattouh,Dentistry,Beirut,Premier Dental Hub,360,4.7
Dr. Jalal Issa,Cardiology,Byblos,Byblos Heart Center,1260,4.5
Dr. Celine Daher,Rheumatology,Beirut,Rheuma Relief Clinic,980,4.5
Dr. Walid Talhouk,Orthopedics,Zahle,Zahle Joint Institute,1180,4.4
Dr. Samar Hitti,Endocrinology,Tripoli,Marada Wellness Center,950,4.4
Dr. Nour Youssef,Hepatology,Beirut,Metn Liver Institute,1480,4.6
Dr. Tarek Nassar,Gastroenterology,Tyre,Coastal Digestive Hospital,1150,4.4
Dr. Aida Baradi,Pediatrics,Beirut,Cedar Kids Clinic,700,4.7
Dr. Marwan Abillama,ENT (Otolaryngology),Saida,Saida ENT Center,890,4.5
Dr. Leila Itani,Cardiology,Baalbek,Valley Heart Center,1220,4.3
Dr. Sami Kanaan,Orthopedics,Batroun,Batroun Ortho Center,1120,4.2
Dr. Mira Rassi,Neurology,Jounieh,Keserwan Neuro Care,1680,4.7
Dr. Nour Tannoury,Dermatology,Tripoli,North Glow Clinic,780,4.5
Dr. Jad Khoury,Urology,Beirut,Capital Urology Institute,1500,4.7
Dr. Rana Soueidan,Gynecology,Aley,Aley Women’s Clinic,900,4.4
Dr. Issam Helou,General Medicine,Byblos,Heritage Family Practice,620,4.2
Dr. Rita Zoghbi,Ophthalmology,Baalbek,Valley Vision Clinic,750,4.3
Dr. Pascal Mouawad,Rheumatology,Tripoli,Tripoli Arthritis Hub,960,4.4
Dr. Karim Srour,Cardiology,Beirut,Infinity Heart Lab,1600,4.9
Dr. Sana Abou Zeid,Orthopedics,Saida,Saida Bone Center,1150,4.3
Dr. Malik Kassir,Dentistry,Tyre,Tyre Dental Studio,340,4.5
Dr. Ghida Anis,Psychiatry,Tripoli,North Mind Center,1170,4.4
Dr. Selim Osta,Endocrinology,Beirut,Beirut Metabolic Clinic,980,4.5
Dr. Dalia Barakat,Gastroenterology,Byblos,Phoenicia Digestive Center,1120,4.5
Dr. Tarek Haddad,Pulmonology,Baalbek,Beqaa Respiratory Clinic,930,4.3
Dr. Yasmine Baroody,Pediatrics,Zahle,Zahle Children Clinic,610,4.4
Dr. Omar Charaf,ENT (Otolaryngology),Beirut,Capital ENT Institute,950,4.6
